family,source_id,configured,source_role,safe_seed_url,content_state,completeness,access_state,redistribution_status,live_check_result,evidence,parser_notes
apao,apao_issp_official,false,official,https://www.issp.ac.ru/iao/apao/first/intro-e.html,unresolved,unknown,dead_links,unknown,timeout,Official ISSP seed timed out during one bounded check; no workaround used,needed when reachable
baao,baao_bpho_official,true,official,https://www.bpho.org.uk/baao/,metadata_only,unknown,partially_accessible,unknown,HTTP 200; bounded containers only,Canonical astronomy pages are public but no paper endpoint was reached safely,strict BAAO-path isolation
bangladesh_bao,bangladesh_bao_official,true,official,https://www.astronomybangla.com/olympiad2026,indexed,partial_archive,open,unknown,HTTP 200; 10 validated official 2024 question PDFs normalized,Only the current official 2024 General Group task corpus is exposed; files are distinct but no separate event claim or official solutions/historic completeness is made,strict official /media/question-papers/ Question Paper boundary
bangladesh_bdoaa,bangladesh_bdoaa_official,false,official,https://bdoaa.org/,unresolved,unknown,dead_links,unknown,HTTP 403 redirected to unrelated domain,Provenance cannot be safely established,needed when valid source exists
brazil_oba,brazil_oba_official,true,official,https://sistema.oba.org.br/site/?idcat=9&m=s&p=conteudo&pag=conteudo,indexed,partial_archive,partially_accessible,unknown,HTTP 200; 217 validated files normalized 1998-2024,Official digital provas/gabaritos archive ingested; one reordered HTML catalogue retained as discovery-only and no historical completeness is claimed,official direct-PDF/ZIP archive with OBA-level metadata
bulgaria_astronomy,bulgaria_astronomy_official,true,official,https://astro-olymp.org/,indexed,partial_archive,open,unknown,HTTP 200; 29 normalized objects,Official archive yields 15 tasks and 14 solutions/answers; historical completeness is not claimed,results and press exclusion
caao,caao_official_past_contests,true,official,https://caao.ca/past-contests/,indexed,partial_archive,open,unknown,HTTP 200; 7 normalized task papers 2017-2023,Official visible archive; two HTML pages are legitimate containers and no historical completeness is claimed,CAAO IOAA exclusion
china_cnao,china_cnao_beijing_planetarium_official,true,official,https://www.bjp.org.cn/qgzxstwzsjs/,metadata_only,unknown,no_archive_found,unknown,HTTP 200; bounded CNAO landing page enumerated no official paper/archive links,Authoritative CNAO event context retained but no direct national task/solution archive can be safely enumerated from the bounded page; provincial/training material excluded,CNAO-only link filter and bounded landing-page audit
croatia_astronomy,croatia_astronomy_azoo_official,true,official,https://www.azoo.hr/natjecanja-i-smotre-arhiva/,indexed,partial_archive,partially_accessible,unknown,HTTP 200; 46 reachable attachments and 563 normalized safe members,Bounded AZOO astronomy posts yield 43 ZIPs plus 2 PDFs and 1 DOC; three official legacy attachments return 404 and historical completeness is not claimed,AZOO public search -> astronomy post -> official attachment; safe local ZIP member expansion
czech_astronomy,czech_astronomy_official,true,official,https://olympiada.astro.cz/archiv,indexed,partial_archive,partially_accessible,unknown,tracked source,Official archive by school year category and round; protected materials remain discovery-only,protected materials are not bypassed
gecaa,gecaa_ioaa_archive,true,official,https://ioaastrophysics.org/past-olympiads/2020,indexed,partial_archive,open,unknown,tracked source,Official IOAA-hosted GeCAA 2020 materials are indexed,official event archive
gecaa,gecaa_official_archive,true,official,https://gecaa.ee/competition-problems-and-solutions/,metadata_only,unknown,dead_links,unknown,download failure,Official competition archive is retained as provenance but current downloads fail,no bypass
hong_kong_astronomy,hong_kong_astronomy_space_museum,false,official,https://hk.space.museum/tc/web/spm/activities/hkakc.html,metadata_only,unknown,policy_blocked,unknown,HTTP 200,Event provenance public but question bank protected,not a download target
iao,iao_astroarena_mirror,true,mirror,https://astroarena.github.io/astroarena/olympiads/iao.html,indexed,partial_archive,open,unknown,tracked source,Detailed historical mirror with papers by year and round,mirror provenance preserved
iao,iao_eaae_index,true,archive,https://eaae-astronomy.org/news/international-astronomy-olympiad,indexed,partial_archive,partially_accessible,unknown,tracked source,Historical archive index links to official IAO pages,official target provenance preserved
iao,iao_fizmat_mirror,true,mirror,https://fizmat.space/international/,indexed,partial_archive,open,unknown,tracked source,Supplementary mirror with individual PDF and ZIP files,mirror provenance preserved
inao,inao_hbcse_current,true,official,https://olympiads.hbcse.tifr.res.in/science-olympiad-2025-2026/,indexed,partial_archive,open,explicit-no-redistribution,tracked source,Current official INAO papers and published solutions remain local,HBCSE restriction preserved
inao,inao_hbcse_past_papers,true,official,https://olympiads.hbcse.tifr.res.in/how-to-prepare/past-papers/,indexed,partial_archive,open,explicit-no-redistribution,tracked source,Official English and Hindi papers and model solutions remain local,HBCSE restriction preserved
indonesia_astronomy,indonesia_osn_official,false,official,https://pusatprestasinasional.kemendikdasmen.go.id/bank-soal-OSN,unresolved,unknown,dead_links,unknown,TLS issuer validation failure,No insecure TLS workaround used,needed when reachable
ioaa,ioaa_past_olympiads,true,official,https://www.ioaastrophysics.org/past-olympiads,metadata_only,unknown,open,unknown,tracked source,Official yearly index retained as provenance,bounded index source
ioaa,ioaa_problems,true,official,https://www.ioaastrophysics.org/resources/problems-from-past-ioaa,indexed,partial_archive,open,unknown,tracked source,Official problems solutions and marking schemes are indexed,official resource archive
ioaa,ioaa_proceedings,true,official,https://www.ioaastrophysics.org/resources/past-proceedings,indexed,partial_archive,open,unknown,tracked source,Official proceedings provide supplementary material,official proceedings
ioaa_junior,ioaa_junior_official,true,official,https://ioaastrophysics.org/junior-ioaa/past-olympiads,indexed,partial_archive,open,unknown,tracked source,Official Junior IOAA year pages and public combined PDFs,Junior lineage kept separate
iran_astronomy,iran_astronomy_irysc_mirror,true,mirror,https://www.irysc.com/,metadata_only,unknown,no_archive_found,unknown,HTTP 200; designated mirror root enumerated no source-backed Iranian olympiad papers,Mirror provenance is retained and no broad site crawl was used; mocks/courses/preparation and foreign material remain excluded,narrow mirror-paper boundary when an explicit archive appears
israel_astronomy,israel_multispace_archive,false,archive,https://ioaa.multi-space.net/start-here/,unresolved,unknown,dead_links,unknown,HTTP 500,Archive endpoint failed; official source retained,needed if restored
israel_astronomy,israel_space_agency_official,true,official,https://www.space.gov.il/community-projects/134724,metadata_only,unknown,no_archive_found,unknown,HTTP 200; authoritative event page has no bounded national paper links,Israel Space Agency retains authoritative event provenance; unrelated accessibility/education links and non-authoritative Multi-Space archive are not ingested,authoritative event-only boundary
korea_astronomy,korea_kao_official,false,official,https://www.kasolym.org/html/main.asp,unresolved,unknown,dead_links,unknown,connection reset,Live source unavailable without bypass,needed when reachable
macao_astronomy,macao_astronomy_sepam_official,true,official,https://sepam.org/2026-2nd-geg-astronomy-cup/,indexed,partial_archive,open,unknown,HTTP 200; 2 local preliminary combined task-and-answer PDFs normalized 2024-2025,Only explicitly labelled local preliminary papers were ingested; regulations/results/seating PDFs and CNAO material excluded,local preliminary title/context classifier
malaysia_astronomy,malaysia_astronomy_myao_official,true,official,https://myao.my/,metadata_only,unknown,robots_blocked,unknown,robots.txt blocked configured whitelisted source before archive enumeration,Authoritative competition provenance was established in the activation audit but this run could not enumerate documents; no broad-domain crawl or mirror substitution used,strict whitelist retained pending accessible official archive
mao,mao_moscow_archive,true,archive,https://mos.olimpiada.ru/tasks/astr,indexed,partial_archive,open,unknown,tracked source,Historical reserve archive of Moscow Astronomy Olympiad tasks and solutions,archive provenance preserved
mao,mao_official_archive,true,official,https://mosastro.olimpiada.ru/tasks,indexed,partial_archive,open,unknown,tracked source,Current official Moscow Astronomy Olympiad archive,official archive
nepal_astronomy,nepal_astronomy_naso_official,true,official,https://www.nepalastronomicalsociety.org/projects/olympiad/,indexed,sample_only,open,unknown,HTTP 200; 2 official NASO sample PDFs validated,Junior and senior sample task papers normalized with unknown year and practice/sample metadata; no historic national-round archive asserted,bounded NASO sample-paper links only
nzoaa,nzoaa_official,true,official,https://www.nzoaa.com/past-papers-1,metadata_only,unknown,policy_blocked,unknown,HTTP 200; 2024 Question Paper and Markscheme found; Drive download robots-blocked,Two genuine official NZOAA documents retained as provenance but their binaries are blocked by crawler policy; no alternate endpoint or retry loop used,labelled official Drive paper/markscheme extraction
olaa,olaa_official_archive,true,official,https://www.olaa-astro.org/p/pruebas_3.html,metadata_only,unknown,policy_blocked,unknown,HTTP 200; public Drive download robots-blocked,Official archive has 63 provenance links but crawler must not bypass Drive robots policy,official Drive discovery-only short-circuit
