family_id,name_en,name_ru,region,competition_scope
apao,Asian-Pacific Astronomy Olympiad,Азиатско-Тихоокеанская астрономическая олимпиада,Asia-Pacific,international secondary-school olympiad
baao,British Astronomy and Astrophysics Olympiad,Британская олимпиада по астрономии и астрофизике,United Kingdom,national secondary-school olympiad
bangladesh_bao,Bangladesh Astronomy Olympiad,Астрономическая олимпиада Бангладеш,Bangladesh,national olympiad
bangladesh_bdoaa,Bangladesh Olympiad on Astronomy and Astrophysics,Олимпиада Бангладеш по астрономии и астрофизике,Bangladesh,national olympiad
brazil_oba,Brazilian Astronomy and Astronautics Olympiad,Бразильская олимпиада по астрономии и астронавтике,Brazil,national multi-level olympiad
bulgaria_astronomy,Bulgarian Astronomy Olympiad,Болгарская астрономическая олимпиада,Bulgaria,national multi-age olympiad
caao,Canadian Astronomy and Astrophysics Olympiad,Канадская олимпиада по астрономии и астрофизике,Canada,national olympiad
china_cnao,China National Astronomy Olympiad,Национальная астрономическая олимпиада Китая,China,national olympiad
croatia_astronomy,Croatian Astronomy Competition,Хорватское соревнование по астрономии,Croatia,national school competition
czech_astronomy,Czech Astronomical Olympiad,Чешская астрономическая олимпиада,Czechia,national multi-category olympiad
gecaa,Global e-Competition on Astronomy and Astrophysics,Глобальное электронное соревнование по астрономии и астрофизике,International,international competition
hong_kong_astronomy,Hong Kong Astronomy Competition,Астрономическое соревнование Гонконга,"Hong Kong, China",regional competition
iao,International Astronomy Olympiad,Международная астрономическая олимпиада,International,international secondary-school olympiad
inao,Indian National Astronomy Olympiad,Индийская национальная астрономическая олимпиада,India,national olympiad
indonesia_astronomy,Indonesia National Science Olympiad — Astronomy,Национальная научная олимпиада Индонезии — астрономия,Indonesia,national school olympiad
ioaa,International Olympiad on Astronomy and Astrophysics,Международная олимпиада по астрономии и астрофизике,International,international secondary-school olympiad
ioaa_junior,International Olympiad on Astronomy and Astrophysics Junior,Международная юниорская олимпиада по астрономии и астрофизике,International,international junior olympiad
iran_astronomy,Iranian Astronomy Olympiad,Иранская астрономическая олимпиада,Iran,national olympiad
israel_astronomy,Israeli Astronomy Olympiad,Израильская астрономическая олимпиада,Israel,national olympiad
korea_astronomy,Korean Astronomy Olympiad,Корейская астрономическая олимпиада,South Korea,national olympiad
macao_astronomy,Macao Astronomy Cup,Астрономический кубок Макао,"Macao, China",local secondary-school competition
malaysia_astronomy,Malaysia Astronomy Olympiad,Малайзийская астрономическая олимпиада,Malaysia,national olympiad
mao,Moscow Astronomy Olympiad,Московская астрономическая олимпиада,Russia,regional multi-stage olympiad
nepal_astronomy,Nepal Astronomy Olympiad,Непальская астрономическая олимпиада,Nepal,national olympiad
nzoaa,New Zealand Olympiad on Astronomy and Astrophysics,Новозеландская олимпиада по астрономии и астрофизике,New Zealand,national olympiad
olaa,Latin American Astronomy and Astronautics Olympiad,Латиноамериканская олимпиада по астрономии и астронавтике,Latin America,international regional olympiad
owao,Open World Astronomy Olympiad,Открытая всемирная астрономическая олимпиада,International,international olympiad
poland_astronomy,Polish Astronomy Olympiad,Польская астрономическая олимпиада,Poland,national senior olympiad
poland_astronomy_junior,Polish Junior Astronomy Olympiad,Польская юниорская астрономическая олимпиада,Poland,national junior olympiad
romania_astronomy,Romanian Astronomy and Astrophysics Olympiad,Румынская олимпиада по астрономии и астрофизике,Romania,national olympiad
russia_team_qual,Russia Team Qualification in Astronomy and Astrophysics,Отбор в сборную России по астрономии и астрофизике,Russia,national team selection
serbia_astronomy,Serbian Astronomy Olympiad,Сербская астрономическая олимпиада,Serbia,national olympiad
singapore_astronomy,Singapore Astronomy Olympiad,Сингапурская астрономическая олимпиада,Singapore,national olympiad
slovenia_astronomy,Slovenian Astronomy Competition,Словенское соревнование по астрономии,Slovenia,secondary-school competition
slovenia_astronomy_primary,Slovenian Primary Astronomy Competition,Словенское астрономическое соревнование для начальной школы,Slovenia,primary-school competition
slovenia_utrinek,Slovenian Utrinek Astronomy Competition,Словенское астрономическое соревнование Utrinek,Slovenia,Utrinek school competition
spbao,Saint Petersburg Astronomy Olympiad,Санкт-Петербургская астрономическая олимпиада,Russia,regional multi-stage olympiad
sri_lanka_astronomy,Sri Lanka Astronomy Olympiad,Астрономическая олимпиада Шри-Ланки,Sri Lanka,national senior olympiad
sri_lanka_junior_astronomy,Sri Lanka Junior Astronomy Olympiad,Юниорская астрономическая олимпиада Шри-Ланки,Sri Lanka,national junior olympiad
struve,Struve Astronomy Olympiad,Астрономическая олимпиада имени Струве,Russia,multi-stage school olympiad
taiwan_astronomy,Taiwan Astronomy Olympiad,Тайваньская астрономическая олимпиада,Taiwan,national olympiad candidate
thailand_astronomy,Thailand Astronomy Olympiad,Таиландская астрономическая олимпиада,Thailand,national olympiad
ukraine_astronomy,Ukrainian Student Astronomy Olympiad,Украинская ученическая астрономическая олимпиада,Ukraine,national school olympiad
usaaao,United States Astronomy and Astrophysics Olympiad,Олимпиада США по астрономии и астрофизике,United States,national olympiad and team selection
vsosh_astronomy,All-Russian Astronomy Olympiad,Всероссийская олимпиада школьников по астрономии,Russia,national school olympiad
