family,source_id,source_role,safe_seed_url,live_check_result,activation_status,reason,parser_work
apao,apao_issp_official,official,https://www.issp.ac.ru/iao/apao/first/intro-e.html,timeout,CONDITIONAL_UNRESOLVED,Official ISSP seed timed out during one bounded check; no workaround used,needed when reachable
olaa,olaa_official_archive,official,https://www.olaa-astro.org/p/pruebas_3.html,HTTP 200; public Drive download robots-blocked,ACTIVE_DISCOVERY_ONLY,Official archive has 63 provenance links but crawler must not bypass Drive robots policy,official Drive discovery-only short-circuit
poland_astronomy,poland_astronomy_planetarium_official,official,https://www.planetarium.edu.pl/olimpiada/archiwum.html,HTTP 200; 6 normalized archive objects,INGESTED_PARTIAL,Official digital archive is historically partial; two current-edition pages are containers,edition-aware booklet metadata
poland_astronomy_junior,poland_astronomy_junior_official,official,https://oaj.edu.pl/archiwum/,HTTP 200; archive containers only,ACTIVE_DISCOVERY_ONLY,Separate junior provenance is durable but no stage-paper files were publicly reached,bounded archive containers only
caao,caao_official_past_contests,official,https://caao.ca/past-contests/,HTTP 200; 7 normalized task papers 2017-2023,INGESTED_PARTIAL,Official visible archive; two HTML pages are legitimate containers and no historical completeness is claimed,CAAO IOAA exclusion
baao,baao_bpho_official,official,https://www.bpho.org.uk/baao/,HTTP 200; bounded containers only,ACTIVE_DISCOVERY_ONLY,Canonical astronomy pages are public but no paper endpoint was reached safely,strict BAAO-path isolation
singapore_astronomy,singapore_astronomy_official,official,https://astronomy.sg/singapore-astronomy-olympiad/,robots.txt blocked current official page,ACTIVE_DISCOVERY_ONLY,Configured authoritative archive provenance remains durable but this run could not enumerate paper links under crawler policy; no mirror or retry loop used,official-page-only Drive provenance when accessible
sri_lanka_astronomy,sri_lanka_ipsl_official,official,https://ipsl.lk/astronomy-olympiad/,HTTP 200; 26 official PDFs normalized,INGESTED_PARTIAL,Senior-only bounded archive: 25 task variants and one solution; multilingual variants retain their language and no completeness is claimed,SLAAO/astro-test direct-PDF classifier
sri_lanka_junior_astronomy,sri_lanka_junior_ipsl_official,official,https://ipsl.lk/astronomy-olympiad/,HTTP 200; 25 official PDFs normalized,INGESTED_PARTIAL,Junior-only bounded archive: 25 SLJAO task variants; multilingual variants retain their language and no completeness is claimed,SLJAO direct-PDF classifier
ukraine_astronomy,ukraine_usao_official,official,https://www.usao.org.ua/,TLS self-signed certificate,CONDITIONAL_UNRESOLVED,Certificate validation failed; no insecure TLS mode used,needed when reachable
bulgaria_astronomy,bulgaria_astronomy_official,official,https://astro-olymp.org/,HTTP 200; 29 normalized objects,INGESTED_PARTIAL,Official archive yields 15 tasks and 14 solutions/answers; historical completeness is not claimed,results and press exclusion
romania_astronomy,romania_astronomy_official,official,https://onaa2026.ro/subiecte-si-bareme,TLS hostname mismatch,CONDITIONAL_UNRESOLVED,Certificate hostname validation failed; no workaround used,needed when reachable
slovenia_astronomy,slovenia_astronomy_dmfa_official,official,https://www.dmfa.si/Tekmovanja/As/ArhivNalog.aspx,HTTP 200; 34 validated combined PDFs normalized 2010-2026,INGESTED_PARTIAL,Official high-school archive: 17 school and 17 state documents; archive scope is not asserted historically complete,DMFA As_* GetPDF archive only
slovenia_astronomy_primary,slovenia_astronomy_primary_dmfa_official,official,https://www.dmfa.si/tekmovanja/AsOS/ArhivNalog.aspx,HTTP 200; 10 validated combined PDFs normalized 2022-2026,INGESTED_PARTIAL,Official primary-school archive: five school and five state documents; archive scope is not asserted historically complete,DMFA AsOS_* GetPDF archive only
slovenia_utrinek,slovenia_utrinek_dmfa_official,official,https://www.dmfa.si/tekmovanja/AsOSU/ArhivNalog.aspx,HTTP 200; 10 validated combined PDFs normalized 2022-2026,INGESTED_PARTIAL,Official Utrinek archive: five school and five state documents; archive scope is not asserted historically complete,DMFA AsOSU_* GetPDF archive only
croatia_astronomy,croatia_astronomy_azoo_official,official,https://www.azoo.hr/natjecanja-i-smotre-arhiva/,HTTP 200; 46 reachable attachments and 563 normalized safe members,INGESTED_PARTIAL,Bounded AZOO astronomy posts yield 43 ZIPs plus 2 PDFs and 1 DOC; three official legacy attachments return 404 and historical completeness is not claimed,AZOO public search -> astronomy post -> official attachment; safe local ZIP member expansion
thailand_astronomy,thailand_astronomy_posn_official,official,https://www.posn.or.th/projects/academic-olympiad/ao/examination/,HTTP 200; 19 astronomy cards 2009-2025 require visible role/purpose form,ACTIVE_DISCOVERY_ONLY,All bounded official astronomy exam cards are form-gated; cards retained as provenance and no form submitted,bounded pagination plus explicit BE-to-Gregorian card conversion
brazil_oba,brazil_oba_official,official,https://sistema.oba.org.br/site/?idcat=9&m=s&p=conteudo&pag=conteudo,HTTP 200; 217 validated files normalized 1998-2024,INGESTED_PARTIAL,Official digital provas/gabaritos archive ingested; one reordered HTML catalogue retained as discovery-only and no historical completeness is claimed,official direct-PDF/ZIP archive with OBA-level metadata
nepal_astronomy,nepal_astronomy_naso_official,official,https://www.nepalastronomicalsociety.org/projects/olympiad/,HTTP 200; 2 official NASO sample PDFs validated,INGESTED_PARTIAL,Junior and senior sample task papers normalized with unknown year and practice/sample metadata; no historic national-round archive asserted,bounded NASO sample-paper links only
nzoaa,nzoaa_official,official,https://www.nzoaa.com/past-papers-1,HTTP 200; 2024 Question Paper and Markscheme found; Drive download robots-blocked,ACTIVE_DISCOVERY_ONLY,Two genuine official NZOAA documents retained as provenance but their binaries are blocked by crawler policy; no alternate endpoint or retry loop used,labelled official Drive paper/markscheme extraction
israel_astronomy,israel_space_agency_official,official,https://www.space.gov.il/community-projects/134724,HTTP 200; authoritative event page has no bounded national paper links,ACTIVE_DISCOVERY_ONLY,Israel Space Agency retains authoritative event provenance; unrelated accessibility/education links and non-authoritative Multi-Space archive are not ingested,authoritative event-only boundary
israel_astronomy,israel_multispace_archive,archive,https://ioaa.multi-space.net/start-here/,HTTP 500,CONDITIONAL_UNRESOLVED,Archive endpoint failed; official source retained,needed if restored
indonesia_astronomy,indonesia_osn_official,official,https://pusatprestasinasional.kemendikdasmen.go.id/bank-soal-OSN,TLS issuer validation failure,CONDITIONAL_UNRESOLVED,No insecure TLS workaround used,needed when reachable
bangladesh_bao,bangladesh_bao_official,official,https://www.astronomybangla.com/olympiad2026,HTTP 200; 10 validated official 2024 question PDFs normalized,INGESTED_PARTIAL,Only the current official 2024 General Group task corpus is exposed; files are distinct but no separate event claim or official solutions/historic completeness is made,strict official /media/question-papers/ Question Paper boundary
bangladesh_bdoaa,bangladesh_bdoaa_official,official,https://bdoaa.org/,HTTP 403 redirected to unrelated domain,CONDITIONAL_UNRESOLVED,Provenance cannot be safely established,needed when valid source exists
korea_astronomy,korea_kao_official,official,https://www.kasolym.org/html/main.asp,connection reset,CONDITIONAL_UNRESOLVED,Live source unavailable without bypass,needed when reachable
china_cnao,china_cnao_beijing_planetarium_official,official,https://www.bjp.org.cn/qgzxstwzsjs/,HTTP 200; bounded CNAO landing page enumerated no official paper/archive links,ACTIVE_DISCOVERY_ONLY,Authoritative CNAO event context retained but no direct national task/solution archive can be safely enumerated from the bounded page; provincial/training material excluded,CNAO-only link filter and bounded landing-page audit
iran_astronomy,iran_astronomy_irysc_mirror,mirror,https://www.irysc.com/,HTTP 200; designated mirror root enumerated no source-backed Iranian olympiad papers,ACTIVE_DISCOVERY_ONLY,Mirror provenance is retained and no broad site crawl was used; mocks/courses/preparation and foreign material remain excluded,narrow mirror-paper boundary when an explicit archive appears
taiwan_astronomy,taiwan_astronomy_deferred_reference,archive,,no seed,DEFERRED_NO_RELIABLE_ARCHIVE,No modern astronomy-only national archive established,not applicable
hong_kong_astronomy,hong_kong_astronomy_space_museum,official,https://hk.space.museum/tc/web/spm/activities/hkakc.html,HTTP 200,ACTIVE_DISCOVERY_ONLY,Event provenance public but question bank protected,not a download target
malaysia_astronomy,malaysia_astronomy_myao_official,official,https://myao.my/,robots.txt blocked configured whitelisted source before archive enumeration,ACTIVE_DISCOVERY_ONLY,Authoritative competition provenance was established in the activation audit but this run could not enumerate documents; no broad-domain crawl or mirror substitution used,strict whitelist retained pending accessible official archive
macao_astronomy,macao_astronomy_sepam_official,official,https://sepam.org/2026-2nd-geg-astronomy-cup/,HTTP 200; 2 local preliminary combined task-and-answer PDFs normalized 2024-2025,INGESTED_PARTIAL,Only explicitly labelled local preliminary papers were ingested; regulations/results/seating PDFs and CNAO material excluded,local preliminary title/context classifier
